,gender,seniorcitizen,partner,dependents,tenure,phoneservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,monthlycharges,totalcharges,churn
32,Female,0,Yes,Yes,-0.21871512695797646,Yes,Yes,Yes,Yes,Yes,No,No,One year,0.046141706085686136,-0.1788045119147496,No
33,Male,0,No,No,-1.2774445836787656,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.481049737066981,-0.9968679387548512,No
34,Male,1,No,No,-1.2774445836787656,Yes,No,No,No,No,No,No,Month-to-month,-0.6484894399837535,-0.9858163066435692,No
35,Female,0,Yes,Yes,1.6137012404433893,Yes,Yes,Yes,No,Yes,Yes,No,Two year,1.1678546811978192,2.193546337202649,No
36,Male,0,No,No,-1.1145631287986442,Yes,No,No,No,No,No,No,Month-to-month,0.16412929309748078,-0.8659689668020626,Yes
37,Female,0,No,No,0.5549717837226001,Yes,No,No,Yes,No,No,No,Month-to-month,0.33363258711442517,0.5596695164073775,No
38,Male,0,No,No,0.06632741908223598,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,1.3822264942192488,0.5600886401800608,Yes
39,Female,0,No,No,-0.8702409464784621,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,1.099721004191008,-0.5180962354748845,Yes
40,Male,0,Yes,Yes,-0.9109613101984924,Yes,No,Yes,No,No,No,No,One year,-0.5055748979694671,-0.7959091193261516,No
41,Female,0,Yes,Yes,1.5322605130033284,Yes,Yes,Yes,No,No,Yes,No,Two year,0.14751132309581955,1.1438177597983101,No
42,Female,0,Yes,Yes,-0.62591876415828,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.462769970065154,-0.8212550780005288,No
43,Female,0,No,No,1.247217966963116,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,0.5014740841312035,1.1390088659854167,No
44,Female,0,Yes,No,-0.7888002190384014,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,0.3801629031190768,-0.5727808582370959,No
45,Female,0,No,No,0.6771328748826912,Yes,No,No,No,No,No,Yes,Month-to-month,0.6560212051466532,0.7177894744386527,No
46,Male,0,No,No,-1.2367242199587352,Yes,No,Yes,No,No,No,No,Month-to-month,-0.5155456799704636,-0.9629850906052922,No
47,Female,0,No,No,-1.2367242199587352,Yes,No,No,No,No,Yes,No,Month-to-month,0.5280628361338618,-0.9421833159926397,Yes
48,Male,0,No,No,0.7992939660427822,Yes,Yes,No,No,Yes,Yes,Yes,Two year,0.4981504901308714,0.8550414804194837,No
49,Female,0,Yes,Yes,1.4915401492832983,Yes,Yes,No,Yes,Yes,No,No,Two year,-0.020330173920958795,0.8710564203651738,No
50,Female,1,No,No,0.43281069256250915,Yes,No,Yes,No,No,Yes,No,Month-to-month,0.8471278601657574,0.6878110951188281,No
51,Female,0,No,No,-0.7073594915983407,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,1.141265929195161,-0.37647651859977455,Yes
52,Female,1,Yes,No,-0.30015585439803716,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,0.1574821050968162,-0.23254059140194083,No
53,Female,1,Yes,No,-0.9924020376385531,Yes,No,Yes,No,No,No,No,Month-to-month,0.5280628361338618,-0.7263786913525774,Yes
54,Female,1,Yes,Yes,1.125056875803025,Yes,Yes,Yes,Yes,Yes,No,Yes,One year,0.33529438411459117,0.9602856656548654,No
55,Male,1,No,No,-0.5851984004382496,Yes,No,No,No,No,Yes,Yes,Month-to-month,1.0199547481830342,-0.2325847096938023,Yes
56,Female,0,Yes,Yes,1.247217966963116,Yes,Yes,No,No,No,Yes,Yes,One year,1.1595456961969886,1.778613802246135,No
57,Male,1,Yes,Yes,1.369379058123207,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,1.4520219682262263,2.1161849124236753,No
58,Female,0,Yes,Yes,0.06632741908223598,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.3231790220511994,-0.6112299495943104,No
59,Female,0,No,No,1.6137012404433893,Yes,No,No,Yes,Yes,Yes,Yes,Two year,1.42044782522307,2.459138454208307,No
60,Female,0,Yes,No,0.5956921474426305,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,1.1877962451998125,1.0709122824973383,No
61,Male,0,No,No,1.125056875803025,Yes,No,Yes,No,No,Yes,No,Month-to-month,0.8354952811645946,1.3989759007787455,No
62,Male,0,Yes,No,1.6137012404433893,No,Yes,Yes,Yes,No,No,No,Two year,-0.7531826509942192,0.3010039712239601,No
63,Female,0,Yes,Yes,-0.5851984004382496,Yes,No,No,Yes,Yes,No,No,One year,-0.34438058895335305,-0.5835236623053481,No
64,Female,0,No,No,-0.9516816739185228,Yes,No,No,No,No,Yes,Yes,Month-to-month,0.9850570111795457,-0.6275757767289609,Yes
65,Female,0,No,No,-1.1960038562387048,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,0.3502505571160864,-0.8980870832771656,No
66,Male,0,Yes,No,0.5956921474426305,Yes,No,Yes,No,No,No,No,One year,0.46989994112804756,0.6046922332519411,No
67,Female,0,No,No,-0.055833672077855064,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,0.47987072312904416,0.09594215065214973,No
68,Female,0,Yes,Yes,0.7178532386027215,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.4827115340671475,-0.5950826547730361,No
69,Male,0,No,No,-0.9109613101984924,Yes,Yes,No,Yes,No,No,No,Month-to-month,0.5014740841312035,-0.614296170878678,No
70,Male,0,No,No,-1.2774445836787656,Yes,No,No,No,Yes,No,No,Month-to-month,-0.5221928679711283,-0.9841398115528358,No
71,Female,0,Yes,Yes,0.7992939660427822,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4744025490663168,-0.5246036835244418,No
72,Male,1,Yes,Yes,1.2879383306831464,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,1.5567151792366918,2.1261777055302837,No
73,Male,0,Yes,Yes,1.2064976032430856,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.3464441800535252,-0.3772706478532799,No
74,Female,0,No,Yes,-1.1960038562387048,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,-0.00869759491979612,-0.9275139839487225,No
75,Female,1,No,No,0.9621754209229036,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,1.5201556452330371,1.702862695120103,No
76,Female,0,No,No,0.5549717837226001,Yes,No,No,No,No,No,Yes,One year,-0.3028356639492,0.18049485700453238,No
77,Female,0,Yes,Yes,-0.9924020376385531,Yes,Yes,Yes,No,No,No,No,Month-to-month,-0.33607160395252245,-0.7930193712092296,No
78,Male,1,No,No,-0.0965540357978854,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,0.3319707901142591,-0.07431033764101187,No
79,Female,0,Yes,Yes,0.5142514200025698,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.2916048790480432,-0.4690366949250022,No
80,Female,0,No,Yes,-1.2774445836787656,Yes,No,No,No,No,Yes,No,Month-to-month,0.48485611412954227,-0.9707719691188302,Yes
81,Female,0,Yes,Yes,-0.8702409464784621,No,Yes,No,No,No,Yes,Yes,Month-to-month,-0.47233895796614456,-0.7563570706724021,No
82,Female,0,Yes,No,-1.0331224013585834,Yes,No,No,Yes,No,No,No,Month-to-month,0.34526516611558833,-0.7865560414515337,Yes
83,Female,0,No,No,0.3920903288424788,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1.2974748472107767,0.9034392465914449,No
84,Female,0,Yes,No,0.6771328748826912,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.4827115340671475,-0.5763544398778698,No
85,Male,0,No,No,-0.9516816739185228,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,1.1479131171958254,-0.6004430272341968,No
86,Female,0,Yes,No,0.10704778280226633,Yes,Yes,No,No,No,Yes,No,One year,-0.08680205392760396,-0.028361136667358768,No
87,Female,0,Yes,Yes,0.6364125111626608,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.4660935640654862,-0.5394494887358046,No
88,Female,0,Yes,Yes,0.5549717837226001,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.4893587220678117,-0.5967591498637697,No
89,Male,0,Yes,No,-0.13727439951791576,No,No,No,No,No,Yes,No,Month-to-month,-1.0307027500219619,-0.5605159730996254,No
90,Male,0,Yes,Yes,-0.0965540357978854,Yes,No,Yes,Yes,No,No,No,Month-to-month,0.574593152138513,0.12814850371097536,No
91,Male,1,No,No,-1.2774445836787656,Yes,No,No,No,Yes,No,No,Month-to-month,0.3303089931140931,-0.9728234696903856,No
92,Male,0,Yes,Yes,1.369379058123207,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,0.6394032351449919,1.5152496589794784,No
93,Female,0,No,No,1.3286586944031769,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1.5384354122348645,2.1297071688791958,No
94,Male,0,No,No,1.6137012404433893,Yes,No,Yes,Yes,No,Yes,Yes,Two year,1.2010906212011416,2.2850256153772723,No
95,Female,0,No,No,-0.8295205827584317,Yes,Yes,No,No,No,No,No,Month-to-month,0.47156173812821356,-0.5966488541341161,Yes
96,Male,0,Yes,Yes,1.5729808767233588,Yes,Yes,Yes,No,Yes,No,No,One year,0.06940686408801149,1.0892654919116826,No
97,Male,0,No,No,-1.1145631287986442,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.4527991880641573,-0.9555511584266455,Yes
98,Male,0,No,No,0.7992939660427822,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.4544609850643233,-0.5173021062213792,No
99,Female,1,Yes,No,-0.30015585439803716,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,1.1213243651931677,0.10357461514417286,Yes
100,Male,0,No,No,-1.2774445836787656,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.481049737066981,-0.9968679387548512,No
101,Female,0,Yes,Yes,-1.2774445836787656,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.505976692069473,-0.9971988259438118,No
102,Male,0,No,No,0.22920887396235737,Yes,No,No,Yes,Yes,Yes,No,One year,1.0049985751815391,0.5849492976439624,No
103,Female,1,Yes,No,1.369379058123207,No,No,Yes,Yes,No,Yes,No,One year,-0.6385186579827569,0.3297911566635268,No
104,Male,0,Yes,No,1.4508197855632678,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,1.503537675231376,2.352438365341499,Yes
105,Male,0,No,No,-1.1145631287986442,No,No,No,No,No,No,No,Month-to-month,-1.3447823830533592,-0.9615733052657274,No
106,Female,0,Yes,Yes,1.6137012404433893,Yes,Yes,Yes,No,No,Yes,Yes,One year,1.3091074262119398,2.2162010800734806,No
107,Female,0,No,No,-0.015113308357824713,No,Yes,No,No,No,No,No,One year,-1.150352134033923,-0.5965164992585318,No
108,Male,0,No,No,0.43281069256250915,Yes,No,No,No,No,Yes,Yes,One year,0.9833952141793793,0.7242307450504181,No
109,Male,0,Yes,Yes,1.6137012404433893,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.5076384890696393,-0.4043372199102518,No
110,Male,0,Yes,No,0.9214550572028734,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,1.0631614701873533,1.3055333586162896,Yes
111,Female,0,No,No,0.7992939660427822,Yes,Yes,No,Yes,Yes,No,No,One year,-0.22639300194155818,0.3364089004427376,No
112,Female,0,No,No,0.43281069256250915,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,0.893658176170409,0.7387015447809587,No
113,Female,1,Yes,No,0.18848851024232702,Yes,No,No,No,No,No,No,Month-to-month,0.39013368512007346,0.25959895431203156,Yes
114,Female,0,Yes,Yes,1.2879383306831464,No,No,Yes,No,Yes,Yes,Yes,Two year,-0.33773340095268845,0.504609888164344,No
115,Male,0,Yes,Yes,-1.1960038562387048,Yes,Yes,Yes,No,No,Yes,No,Month-to-month,0.8338334841644282,-0.8961899967271251,No
116,Female,0,No,No,0.14776814652229667,No,Yes,No,No,No,No,No,Two year,-1.1204397880309327,-0.5088534533299203,No
117,Female,0,Yes,Yes,-0.9109613101984924,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,1.1794872601989819,-0.536074439408407,Yes
118,Female,0,No,No,0.35136996512244845,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.4660935640654862,-0.6373259192303314,No
119,Male,0,Yes,Yes,-0.21871512695797646,Yes,No,Yes,No,Yes,No,No,Month-to-month,0.6792863631489789,-0.056530666020865795,No
120,Female,0,Yes,Yes,0.9621754209229036,Yes,No,No,Yes,No,Yes,Yes,One year,1.1645310871974868,1.4275424947590052,No
121,Female,0,No,No,-1.0738427650786138,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.46443176706532,-0.9560364596371209,No
122,Male,0,No,No,-1.1960038562387048,Yes,No,No,No,No,No,No,Month-to-month,0.32033821111309646,-0.9045062947429998,Yes
123,Female,0,Yes,Yes,-1.0331224013585834,Yes,Yes,No,No,No,No,No,Month-to-month,-0.467353566965646,-0.8512113981744227,No
124,Female,0,Yes,Yes,-1.1552834925186746,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.4594463760648215,-0.9780294281300312,No
125,Male,0,No,No,0.025607055362205634,Yes,Yes,No,No,Yes,Yes,No,Two year,0.8039211381614382,0.3299676298309725,No
126,Female,1,No,No,-0.21871512695797646,Yes,No,No,Yes,No,No,No,Month-to-month,0.44164939212522314,-0.06363371101055196,Yes
127,Male,0,Yes,No,1.6137012404433893,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.3697093380558512,-0.24520254116616408,No
128,Male,0,No,No,-1.2774445836787656,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.4960059100684764,-0.9970664710682275,No
129,Male,1,No,No,1.5729808767233588,No,Yes,Yes,No,No,Yes,Yes,One year,-0.2762469119465419,0.7524885109876478,No
130,Female,0,No,No,-0.7888002190384014,Yes,No,No,No,No,No,Yes,Month-to-month,0.7042133181514708,-0.4694558186976855,No
131,Female,0,Yes,Yes,-0.30015585439803716,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,-0.2047896409393986,-0.34283632105545325,Yes
132,Male,0,No,No,1.4100994218432374,Yes,No,No,No,Yes,No,No,Two year,-0.47233895796614456,0.4325205992628083,No
133,Male,0,No,No,-1.2774445836787656,No,No,No,No,No,No,Yes,Month-to-month,-0.9742016520163136,-0.990139899245987,Yes
134,Male,0,No,No,-1.2367242199587352,Yes,No,No,No,No,No,No,Month-to-month,-0.6784017859867437,-0.9699337215734635,Yes
135,Female,0,No,No,0.43281069256250915,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.2982520670487077,-0.4815662898136412,No
136,Female,0,No,No,-0.38159658183809786,Yes,Yes,No,No,No,No,No,Month-to-month,0.3402797751150897,-0.22113601295576768,No
137,Female,0,Yes,Yes,1.2879383306831464,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.481049737066981,-0.44205835945175304,No
138,Male,0,No,Yes,1.002895784642934,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.5009913010689746,-0.4893531683271792,No
139,Female,1,Yes,No,-1.2774445836787656,Yes,No,No,No,No,No,No,Month-to-month,0.18905624809997262,-0.9746984970944953,Yes
140,Female,1,Yes,Yes,1.6137012404433893,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0.7740087921584478,1.829107187281513,No
141,Female,0,No,No,-0.9924020376385531,Yes,Yes,No,No,Yes,No,Yes,Month-to-month,0.21232140610229844,-0.7571070816340459,Yes
142,Female,0,Yes,No,1.1657772395230555,Yes,No,Yes,No,No,Yes,Yes,Two year,1.2060760122016398,1.628633669063289,No
143,Male,0,No,No,1.2879383306831464,Yes,Yes,Yes,No,No,No,No,One year,0.6493740171459885,1.3276586819847844,No
144,Male,1,Yes,No,1.5729808767233588,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.3564149620545218,-0.23097439204086098,No
145,Female,0,Yes,Yes,1.3286586944031769,Yes,Yes,Yes,No,Yes,Yes,No,Two year,1.1396041321949948,1.8251586001599174,No
146,Male,0,No,No,-1.1960038562387048,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.5009913010689746,-0.9787132616538832,No
147,Male,0,No,No,-1.2774445836787656,Yes,No,No,No,No,No,No,Month-to-month,-0.6351950639824246,-0.9856398334761236,Yes
148,Male,0,No,Yes,-0.0965540357978854,Yes,No,Yes,Yes,No,Yes,No,One year,-0.00869759491979612,-0.15431885993166986,No
149,Male,0,Yes,Yes,-0.7073594915983407,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-month,0.1574821050968162,-0.5330964547077621,No
150,Female,0,Yes,Yes,-0.9924020376385531,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,0.12590796209365976,-0.7567982535910162,No
151,Male,0,No,No,-1.0331224013585834,Yes,No,No,No,No,Yes,Yes,Month-to-month,1.0049985751815391,-0.7165844305593455,Yes
152,Female,0,Yes,Yes,1.5322605130033284,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,1.4420511862252297,2.493043361503797,No
153,Male,0,Yes,Yes,1.2064976032430856,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0.7091987091519689,1.2950993825910675,No
154,Female,0,Yes,Yes,-1.0738427650786138,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.4976677070686424,-0.9557055724481603,No
155,Female,0,Yes,Yes,-0.748079855318371,Yes,No,No,No,No,No,Yes,Month-to-month,0.5363718211346925,-0.49718416513257857,No
156,Female,0,No,No,-0.4223169455581282,Yes,No,No,No,No,Yes,No,Month-to-month,0.6443886261454905,-0.20196661514198722,No
157,Male,0,Yes,Yes,-0.4223169455581282,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4827115340671475,-0.8205271261848155,No
158,Male,0,Yes,Yes,-0.6666391278783103,Yes,Yes,No,Yes,No,Yes,No,Two year,-0.017006579920626735,-0.5540085250500681,No
159,Male,0,No,No,-0.9109613101984924,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.2982520670487077,-0.8947782113875602,No
160,Female,0,No,Yes,-0.7888002190384014,Yes,Yes,Yes,No,No,No,No,Month-to-month,-0.29120308494803704,-0.6684734332844834,No
161,Female,0,Yes,No,-0.5037576729981889,Yes,Yes,No,No,No,No,No,Month-to-month,0.5862257311396761,-0.30326221325577307,Yes
162,Female,0,No,No,-1.2367242199587352,Yes,No,No,No,No,No,No,Month-to-month,0.16412929309748078,-0.9461319031142356,No
163,Male,0,No,No,0.8400143297628127,Yes,No,Yes,Yes,Yes,No,Yes,Two year,0.30372024111143525,0.7405324538932071,No
164,Female,0,Yes,Yes,-0.8702409464784621,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4677553610656522,-0.9025871490470287,No
165,Male,0,Yes,No,1.4915401492832983,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,-1.491020519067978,-0.404248983326529,No
166,Female,0,No,No,-1.1552834925186746,Yes,No,No,No,No,No,No,Month-to-month,0.20401242110146783,-0.8853368969292195,Yes
167,Male,0,Yes,No,1.6137012404433893,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0.8072447321617703,1.7535766716147878,No
168,Male,1,Yes,No,1.0436161483629645,No,No,Yes,Yes,No,No,Yes,Month-to-month,-0.6468276429835875,0.16388432011871337,Yes
169,Female,0,Yes,Yes,-0.6666391278783103,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.4744025490663168,-0.8639836436682994,No
170,Male,0,Yes,No,0.43281069256250915,Yes,Yes,No,Yes,Yes,No,No,One year,0.6477122201458225,0.5556768109939203,No
171,Female,0,Yes,No,-1.2367242199587352,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,1.3174164112127704,-0.8986606210713638,Yes
172,Male,0,Yes,No,-0.748079855318371,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,0.5712695581381809,-0.48441191963870184,No
173,Female,0,Yes,No,0.8400143297628127,Yes,No,No,Yes,No,Yes,Yes,One year,1.0000131841810405,1.200222995943116,Yes
174,Female,0,No,No,-0.015113308357824713,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4694171580658184,-0.7170035543320288,No
175,Female,0,Yes,No,0.06632741908223598,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,-1.33148800705203,-0.6615689206081734,No
176,Female,1,No,No,-0.7073594915983407,Yes,No,No,No,No,No,No,Month-to-month,0.32200000811326246,-0.5003165638547383,Yes
177,Female,1,No,No,-1.0331224013585834,Yes,Yes,No,No,No,No,No,Month-to-month,0.3884718881199074,-0.7836001158968197,Yes
178,Female,0,Yes,Yes,-0.7073594915983407,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,1.3489905542159264,-0.31786536786189806,No
179,Male,0,Yes,No,1.1657772395230555,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4694171580658184,-0.45341881960606484,No
180,Female,0,No,No,-1.2774445836787656,No,No,Yes,No,No,No,No,Month-to-month,-1.156999322034587,-0.9925664052983643,Yes
181,Female,0,No,No,-1.2774445836787656,Yes,No,No,No,No,No,No,Month-to-month,-0.6468276429835875,-0.9857942474976384,No
182,Male,0,No,No,-0.9924020376385531,Yes,No,No,No,No,No,Yes,Month-to-month,0.6560212051466532,-0.713429972691255,Yes
183,Male,0,Yes,Yes,0.025607055362205634,Yes,Yes,No,Yes,No,Yes,Yes,One year,0.3319707901142591,0.0765742205249931,No
184,Female,0,No,No,-0.7888002190384014,Yes,No,Yes,Yes,No,No,No,Month-to-month,0.4815325201292102,-0.5153388422335466,Yes
185,Female,0,Yes,No,-1.2774445836787656,No,No,No,No,No,No,No,Month-to-month,-1.328164413051698,-0.9948384973292265,Yes
186,Male,0,No,No,-0.5037576729981889,Yes,No,Yes,No,No,No,No,Month-to-month,-0.4307940329619915,-0.5540747024878603,No
187,Male,0,No,No,-1.1960038562387048,No,No,No,No,Yes,No,No,Month-to-month,-1.1420431490330922,-0.9695366569467108,No
188,Female,0,No,No,-0.7888002190384014,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,-1.4993295040688086,-0.8977782552341357,No
189,Female,0,Yes,No,0.3106496014024181,Yes,No,Yes,No,No,No,No,Month-to-month,-0.27126152094604356,0.043838447963830504,No
